단어,힌트1,힌트2
만인지적,만 명의 적을 혼자서도 당해낼 만한 용맹함입니다.,매우 강한 힘을 가진 장수나 영웅을 비유하는 말입니다.
명명백백,거짓 없이 매우 분명하고 뚜렷하다는 뜻입니다.,누가 봐도 확실하여 의심할 여지가 없는 사실입니다.
명실상부,이름과 실질이 서로 잘 부합하는 상태입니다.,평판이나 명성만큼이나 실제 능력도 뛰어나다는 뜻입니다.
무소불위,어떤 제약도 받지 않고 마음대로 휘두르는 권력입니다.,하고 싶은 일을 막힘없이 다 할 수 있는 힘을 의미합니다.
물심양면,물질적으로나 정신적으로나 전폭적인 지원을 합니다.,돈이나 자원과 함께 정성 어린 마음까지 다해 돕습니다.
발본색원,뿌리까지 뽑아 근원부터 아예 없애버립니다.,나쁜 폐단을 완벽하게 제거하여 다시는 못 하게 합니다.
병가상사,싸움에서 이기거나 지는 것은 흔히 있는 일입니다.,실패하거나 성공하는 것은 누구에게나 겪을 수 있는 일입니다.
복룡봉추,아직 때를 만나지 못한 뛰어난 인재를 말합니다.,재능은 엄청나지만 아직 세상에 알려지지 않은 영웅입니다.
부화뇌동,주관 없이 남의 말이나 행동에 덩달아 따라 합니다.,옳고 그름을 따지지 않고 무조건 남을 쫓아가는 행태입니다.
사분오열,여러 갈래로 찢기고 갈라져 흩어진 모습입니다.,하나로 뭉치지 못하고 파벌이 나뉘어 어지러운 상황입니다.
사사건건,어떤 일이 일어날 때마다 시시콜콜 참견하는 모습입니다.,매번 일어나는 모든 일에 대해 간섭하거나 시비합니다.
사상누각,모래 위에 세운 누각처럼 기초가 약해 곧 무너집니다.,기반이 허술하여 아무런 쓸모가 없게 되는 계획입니다.
사실무근,근거가 전혀 없는 거짓된 사실을 의미합니다.,진실이라고 할 만한 아무런 증거도 없는 상태입니다.
살신성인,나를 희생하여 옳은 일을 실천하려는 정신입니다.,자신의 목숨을 바쳐 남을 구하거나 대의를 지키는 행위입니다.
삼고초려,인재를 얻기 위해 세 번이나 찾아가는 정성입니다.,누군가를 영입하려고 끈기 있게 설득하고 노력합니다.
삼십육계,불리할 때 일단 도망치는 것이 가장 좋은 방책입니다.,위기에 처했을 때 상황을 피하는 지혜를 비유합니다.
생로병사,인간이 태어나고 늙고 병들고 죽는 자연의 섭리입니다.,피할 수 없는 인생의 네 가지 거대한 과정입니다.
석고대죄,죄를 지은 사람이 멍석을 깔고 엎드려 벌을 구합니다.,자신의 잘못을 뉘우치며 아주 간절하게 용서를 빕니다.
설왕설래,서로 말을 주고받으며 의견이 왔다 갔다 합니다.,사람들 사이에서 이런저런 말들이 분분하게 오고 갑니다.
성동격서,동쪽에서 소리를 지르고 실제로는 서쪽을 공격합니다.,적을 속이기 위해 다른 곳으로 시선을 돌리는 전략입니다.
솔선수범,남보다 앞서서 행동하여 모범을 보이는 모습입니다.,말보다 앞서 몸소 실천하여 사람들을 이끕니다.
수불석권,책을 손에서 놓지 않고 늘 열심히 공부합니다.,항상 책을 가까이하며 학문에 정진하는 학자의 자세입니다.
수수방관,팔짱을 끼고 바라만 보며 개입하지 않습니다.,어려운 상황을 보고도 아무런 조치 없이 지켜만 봅니다.
수어지교,물과 물고기처럼 매우 친밀한 관계를 뜻합니다.,서로 떼려야 뗄 수 없는 절친한 사이의 우정입니다.
승승장구,싸움에서 계속 이겨 거침없이 나아가는 기세입니다.,하는 일마다 좋은 성과를 내어 성공 가도를 달립니다.
시기상조,아직 때가 이르다는 뜻으로 서두르지 않아야 합니다.,지금 당장 시작하기엔 준비가 부족한 상황입니다.
시종일관,처음부터 끝까지 한결같은 마음과 태도입니다.,중간에 변함없이 처음 마음을 그대로 유지합니다.
시행착오,일을 하며 겪는 실수를 통해 더 나은 방법을 찾아갑니다.,여러 번 실패를 거듭하며 더 좋은 결과를 만들어냅니다.
신출귀몰,귀신처럼 나타나고 사라져 종잡을 수 없는 모습입니다.,움직임이 너무 빨라 어디에 있는지 파악하기 힘듭니다.
십중팔구,열에 여덟 아홉은 그러할 것이라는 강한 추측입니다.,거의 틀림없이 그렇게 될 것이라고 예상하는 말입니다.
아수라장,매우 혼란스럽고 무질서한 엉망진창인 현장입니다.,사람들이 뒤섞여 갈등과 소동이 벌어지는 장소입니다.
아전인수,자기 논에 물 대기식으로 이기적으로 행동합니다.,모든 일을 자기에게 유리한 쪽으로만 해석하려 합니다.
안분지족,분수에 만족하며 마음 편히 사는 태도입니다.,작은 것에 감사하며 욕심 없이 사는 삶의 지혜입니다.
안빈낙도,가난 속에서도 편안하게 도를 즐기는 마음입니다.,물질적 풍요보다 정신적인 만족을 추구하는 태도입니다.
안하무인,눈앞에 사람이 없는 듯 교만하고 무례하게 행동합니다.,잘난 체하며 남을 함부로 대하는 오만한 태도입니다.
암중모색,어둠 속에서 손을 더듬어 원하는 것을 찾습니다.,뚜렷한 방법이 없어 조용히 여러 방도를 연구합니다.
애걸복걸,매우 간절하고 애처롭게 도와달라고 매달립니다.,상대방의 마음을 돌리기 위해 싹싹 빌며 부탁합니다.
애매모호,말이나 상황이 분명하지 않아 혼동스럽습니다.,이것인지 저것인지 확실하지 않아 판단하기 어렵습니다.
애지중지,매우 사랑하고 소중히 여겨 정성껏 보살핍니다.,아주 아끼는 물건이나 사람을 다룰 때 쓰는 말입니다.
야반도주,밤을 틈타 몰래 도망쳐 떠나는 행위입니다.,남의 눈을 피해 급하게 어딘가로 사라져 버립니다.
약육강식,강한 자가 약한 자를 잡아먹는 냉혹한 논리입니다.,힘의 논리가 지배하는 비정한 경쟁 사회의 모습입니다.
양두구육,겉으로는 좋은 척하나 속은 나쁜 것을 팝니다.,양 머리를 걸어놓고 개고기를 판다는 뜻의 속임수입니다.
양자택일,두 가지 방안 중 하나를 선택해야 하는 상황입니다.,이것과 저것 중에서 하나를 골라 결정해야 합니다.
어부지리,두 사람이 싸우는 동안 제3자가 이득을 봅니다.,경쟁하는 사이에 엉뚱한 사람이 실속을 챙깁니다.
어불성설,말이 도무지 이치에 맞지 않는 억지 주장입니다.,앞뒤가 하나도 맞지 않아 황당하게 들리는 이야기입니다.
언감생심,어려운 형편에 감히 생각조차 하지 못합니다.,분수에 맞지 않아 엄두도 못 내는 것을 말합니다.
언어도단,말문이 막힐 정도로 어이가 없고 황당합니다.,너무나 황당해서 뭐라고 말로 표현할 수 없는 상태입니다.
언중유골,말속에 뼈가 있다는 뜻으로 숨은 의도가 있습니다.,그냥 하는 말 같지만 그 속에 뼈아픈 교훈이나 비판이 담겨 있습니다.
언행일치,말한 대로 행동하여 거짓이 없는 모습입니다.,자신이 한 약속을 끝까지 지키는 정직한 태도입니다.
엄동설한,매우 추운 겨울의 혹독한 날씨를 뜻합니다.,눈이 오고 얼음이 어는 아주 추운 계절입니다.
여유만만,마음에 여유가 넘쳐 느긋하고 조급함이 없습니다.,어떤 상황에서도 당황하지 않고 침착함을 유지합니다.
역지사지,상대방의 처지에서 다시 한번 생각해 보는 마음입니다.,상대방의 입장이 되어 보아야 이해할 수 있습니다.
연말연시,한 해가 끝나고 새로운 해가 시작되는 기간입니다.,매년 12월 말부터 다음 해 1월 초까지의 시기입니다.
연목구어,나무에 올라가 물고기를 구하듯 헛된 일을 합니다.,방법이 틀려 아무리 노력해도 이룰 수 없는 일입니다.
연중무휴,일 년 내내 쉬지 않고 계속 문을 엽니다.,언제 찾아가도 영업 중인 가게나 시설을 말합니다.
예의주시,어떤 상황을 주의 깊게 지켜보며 파악합니다.,무슨 일이 일어날지 몰라 자세히 관찰하는 상태입니다.
오리무중,안개 속에 갇혀 앞이 하나도 보이지 않습니다.,어떻게 된 일인지 도무지 갈피를 잡을 수 없습니다.
오매불망,자나 깨나 잊지 못하고 간절히 생각합니다.,밤낮으로 그 사람만 그리워하고 있습니다.
오비삼척,내 코가 석 자라는 뜻으로 내 일도 해결하기 바쁩니다.,남을 도울 여유가 없이 내 상황도 매우 급박합니다.
오비이락,까마귀 날자 배 떨어진다는 속담처럼 오해받기 쉽습니다.,공교롭게도 다른 일과 겹쳐 의심을 사는 상황입니다.
오십보백보,오십 걸음 도망친 사람이 백 걸음 도망친 사람을 비웃습니다.,둘 다 정도의 차이일 뿐 본질적으로는 같습니다.
오월동주,사이가 나쁜 사람들이 한배를 타고 협력합니다.,공동의 이익을 위해 싫은 사람과 손을 잡아야 합니다.
오장육부,사람의 내장 기관을 통틀어 이르는 말입니다.,몸속 깊은 곳까지 느껴지는 감정이나 기분을 뜻합니다.
오합지졸,질서 없이 모인 훈련되지 않은 군대 무리입니다.,실력이 없으면서 떼만 지어 다니는 사람들을 비하합니다.
오합지중,까마귀 떼처럼 어수선하게 모여 있는 무리입니다.,조직력이 없고 제각각인 사람들의 집단입니다.
옥상가옥,지붕 위에 또 지붕을 얹듯 불필요한 중복입니다.,이미 충분한데 쓸데없이 덧붙여 낭비하는 행위입니다.
온고지신,옛것을 익혀서 새로운 것을 배워나가는 지혜입니다.,과거의 교훈을 통해 미래의 길을 찾아가는 태도입니다.
와신상담,복수를 위해 고통을 참고 힘을 기르는 모습입니다.,목표를 이루기 위해 쓴 자리에 눕고 쓸개를 씹으며 고생합니다.
외강내유,겉은 강해 보이나 속은 부드러운 사람입니다.,겉모습과 달리 성격은 따뜻하고 유한 사람입니다.
외유내강,겉으로는 부드러워 보이지만 속은 매우 강인합니다.,부드러운 말투 속에 단단한 주관을 가진 사람입니다.
용감무쌍,매우 용감하여 그 누구도 당할 자가 없습니다.,두려움을 모르고 용맹하게 행동하는 모습입니다.
용두사미,시작은 용처럼 거창했으나 끝은 뱀처럼 초라합니다.,갈수록 용두사미가 되지 않게 끝맺음을 잘해야 합니다.
용호상박,용과 호랑이가 서로 싸우는 것처럼 대단한 대결입니다.,실력이 막상막하인 강자들끼리의 치열한 경쟁입니다.
우공이산,어리석어 보여도 꾸준히 노력하면 산도 옮깁니다.,끈기 있게 노력하면 결국 불가능한 일도 해냅니다.
우왕좌왕,갈팡질팡하며 이리저리 왔다 갔다 합니다.,정신을 차리지 못하고 행동의 방향을 잡지 못합니다.
우유부단,결단력이 부족하여 이리저리 망설이기만 합니다.,스스로 결정하지 못하고 남의 눈치만 보며 지체합니다.
우이독경,소의 귀에 경을 읽어도 소용없다는 뜻입니다.,아무리 좋은 말을 해도 알아듣지 못하는 사람에게 씁니다.
우후죽순,비 온 뒤 죽순이 돋듯 어떤 일이 많이 생깁니다.,어느새 경쟁적으로 비슷한 것이 우르르 솟아납니다.
운칠기삼,운이 7할이고 노력이 3할이라 성공은 운도 필요합니다.,사람의 힘으로 어쩔 수 없는 운의 중요성을 강조합니다.
원교근공,먼 나라와는 친하게 지내고 가까운 나라를 공격합니다.,먼 곳의 적을 칠 때 가까운 곳을 전략적으로 활용합니다.
위급존망,존재하느냐 망하느냐의 매우 위태로운 고비입니다.,지금 아주 중요한 결정을 내려야 하는 절박한 상황입니다.
위기일발,머리카락 하나로 천 근의 무게를 지탱하는 위기입니다.,아주 조금만 더 늦었어도 큰일 날 뻔한 긴박한 순간입니다.
위풍당당,기운차고 씩씩하여 보기에 아주 자랑스럽습니다.,남들의 시선을 사로잡는 기세가 아주 대단합니다.
유구무언,변명할 말이 없어 아무 말도 못 하고 있습니다.,자신의 잘못이 분명하여 입이 있어도 할 말이 없습니다.
유명무실,이름만 있고 실질적인 내용은 없는 상태입니다.,겉으로는 번지르르하지만 실제로 쓸모는 없는 것입니다.
유비무환,준비가 있으면 걱정이 없다는 평소 대비의 중요성입니다.,미리 대비를 잘 해두면 위기가 와도 두렵지 않습니다.
유아독존,세상에서 자기 혼자만 잘났다고 생각하는 태도입니다.,오만함이 극치에 달해 남을 무시하는 마음입니다.
유언비어,근거 없이 세상에 떠도는 거짓된 소문입니다.,확인되지 않은 이야기가 사실처럼 퍼져나가는 것입니다.
유유상종,끼리끼리 어울린다는 뜻으로 비슷한 사람끼리 모입니다.,취향이나 성격이 비슷한 사람들끼리 친해집니다.
유유자적,속세에 얽매이지 않고 편안하게 삶을 즐깁니다.,아무런 걱정 없이 여유로운 시간을 보냅니다.
읍참마속,법의 엄격함을 지키기 위해 아끼는 부하를 베어버립니다.,공적인 일에는 사적인 감정을 배제해야 한다는 교훈입니다.
의기소침,일에 대한 의욕이 사라지고 풀이 죽어 있습니다.,실패 후 낙담하여 기운을 잃어버린 상태입니다.
의기투합,서로의 뜻이 잘 맞아 기분이 좋게 합쳐집니다.,마음이 척척 맞는 친구를 만났을 때 사용합니다.
의미심장,말이나 글 속에 깊은 뜻이 담겨 있습니다.,겉으로 보기보다 훨씬 중요한 진의가 숨겨져 있습니다.
이구동성,여러 사람의 말이 한 목소리처럼 똑같습니다.,모두가 한마음으로 같은 의견을 내세웁니다.
이목구비,귀 눈 입 코라는 얼굴의 네 가지 부위입니다.,사람의 생김새를 말할 때 주로 쓰이는 신체 명칭입니다.
이실직고,사실대로 숨김없이 바르게 이야기합니다.,잘못을 저질렀을 때 변명하지 않고 진실을 말합니다.
이심전심,말하지 않아도 마음이 마음으로 통합니다.,서로 눈빛만 봐도 무엇을 생각하는지 압니다.
이열치열,열로써 열을 다스린다는 뜻으로 더위는 더위로 이깁니다.,뜨거운 음식으로 더위를 이겨내는 지혜입니다.
이율배반,두 가지 판단이 서로 맞지 않고 모순됩니다.,말과 행동이 앞뒤가 달라 스스로 부정하는 것입니다.
이전투구,진흙탕에서 싸우는 개처럼 서로 헐뜯고 다툽니다.,명분도 없이 추하게 싸우는 모습을 비유합니다.
이판사판,막다른 골목에서 어떻게 되든 상관없다는 심정입니다.,더 이상 물러설 곳이 없는 최후의 순간입니다.
인과응보,원인이 있으면 그에 따른 결과가 반드시 돌아옵니다.,착한 일에는 좋은 결과가 나쁜 일에는 나쁜 결과가 옵니다.
인면수심,얼굴은 사람이지만 마음은 짐승처럼 악합니다.,사람으로서 할 수 없는 잔인한 짓을 저지른 사람입니다.
인명재천,사람의 목숨은 하늘의 뜻에 달려 있습니다.,인간의 삶과 죽음은 마음대로 조절할 수 없는 부분입니다.
인사불성,술에 취하거나 병이 들어 정신을 잃고 쓰러졌습니다.,사람으로서의 예의나 의식을 차리지 못하는 상태입니다.
인산인해,사람들이 산처럼 쌓이고 바다처럼 가득 모여 있습니다.,아주 많은 사람이 몰려들어 북적거리는 모습입니다.
인수인계,업무를 다음 사람에게 제대로 전달하고 이어받습니다.,맡은 책임을 누군가에게 차질 없이 넘겨줍니다.
인정사정,남을 가엾게 여기는 마음과 사정을 살펴주는 태도입니다.,사람이라면 마땅히 가져야 할 따뜻한 마음입니다.
인지상정,사람이라면 누구나 가지는 보편적인 마음입니다.,보통 사람들이라면 당연히 그렇게 생각할 것입니다.
일거수일투족,모든 행동과 사소한 움직임 하나하나를 말합니다.,일상적인 사소한 행동까지 모두 신경이 쓰입니다.
일거양득,한 가지 행동으로 두 가지 이득을 챙깁니다.,일석이조와 비슷한 의미로 가성비가 좋은 전략입니다.
일구이언,말을 자꾸 바꾸어 신뢰할 수 없게 만듭니다.,같은 일에 대해 앞뒤 말이 맞지 않는 거짓말입니다.
일도양단,칼로 물을 베듯 한 번에 딱 잘라 결정합니다.,우유부단하지 않고 확실하게 처리하는 모습입니다.
일망타진,한 번의 그물질로 무리를 모두 다 잡습니다.,범죄자 집단 등을 한꺼번에 모두 붙잡을 때 씁니다.
일목요연,한눈에 들어올 정도로 명확하고 질서 정연합니다.,복잡한 내용이 아주 보기 좋게 정리되어 있습니다.
일벌백계,한 사람을 벌주어 백 사람을 경계하게 합니다.,엄격한 규칙 적용으로 다른 이들의 범죄를 막습니다.
일사불란,질서가 있어 조금도 어지럽지 않은 상태입니다.,조직이 아주 잘 짜여서 한 몸처럼 움직입니다.
일사천리,일이 아주 빠르게 막힘없이 잘 진행됩니다.,물 흐르듯 순조롭게 모든 일이 처리됩니다.
일석이조,돌 하나를 던져 새 두 마리를 잡는 이득입니다.,하나의 수단으로 두 가지 효과를 동시에 얻습니다.
일심동체,두 사람 이상이 한마음 한뜻으로 뭉칩니다.,완벽하게 조화를 이루어 한 몸처럼 생각합니다.
일장일단,장점이 있으면 그만큼 단점도 함께 존재합니다.,세상 모든 일에는 좋은 점과 나쁜 점이 다 있습니다.
일장춘몽,한바탕의 봄날 꿈처럼 덧없이 사라지는 영화입니다.,세상 부귀영화가 잠시 머물다 가는 꿈과 같습니다.
일진일퇴,공격했다가 물러났다가 하며 팽팽하게 겨룹니다.,경기가 계속 밀고 당기며 결과를 알 수 없는 상황입니다.
일촉즉발,조금만 건드려도 곧 폭발할 것 같은 위태로운 상황입니다.,작은 충격에도 곧 큰 사건이 터질 것만 같습니다.
일취월장,날로 다달이 학식이나 실력이 나날이 발전합니다.,예전보다 훨씬 실력이 눈부시게 성장했습니다.
일파만파,작은 일이 퍼져나가 엄청난 영향을 미칩니다.,물결이 번져나가듯 걷잡을 수 없이 사건이 커집니다.
일편단심,한 조각의 붉은 마음으로 굳게 믿고 충성합니다.,변하지 않는 정성 어린 마음을 나타냅니다.
일필휘지,붓으로 글씨를 단번에 빠르게 써 내려갑니다.,글씨나 그림을 거침없이 아주 잘 그려냅니다.
일확천금,한 번의 노력으로 갑자기 큰 돈을 벌어들입니다.,운 좋게 아주 큰 부자가 되는 상황을 뜻합니다.
임기응변,임시로 대처하는 뛰어난 재치와 수단입니다.,예기치 못한 상황에서 그때그때 알맞게 대처합니다.
임시방편,우선은 급한 불을 끄기 위해 하는 임시책입니다.,장기적인 대책 없이 지금 당장만 해결하려 합니다.
임전무퇴,싸움에 임하여 결코 물러서지 않겠다는 자세입니다.,죽을 각오로 당당하게 승부를 겨룹니다.
입신양명,출세하여 이름을 세상에 널리 알리고 명예를 얻습니다.,가문의 이름을 높이고 사회적으로 성공합니다.
자가당착,자기의 말이 앞뒤가 맞지 않고 모순됩니다.,제 행동이 제 말과 달라 스스로 꼬이는 상태입니다.
자격지심,자기가 한 일에 대해 스스로 미흡함을 느낍니다.,왠지 모르게 스스로 작아지고 기가 죽는 마음입니다.
자급자족,필요한 것을 스스로 만들고 먹으며 생활합니다.,남에게 의지하지 않고 스스로 해결하는 경제 방식입니다.
자문자답,스스로 묻고 스스로 대답하는 것을 의미합니다.,고민이 깊을 때 혼자서 생각을 정리하는 과정입니다.
자수성가,남의 도움 없이 혼자 힘으로 성공하여 가문을 일으킵니다.,맨손으로 시작해 스스로의 능력으로 부를 이룹니다.
자승자박,자기가 만든 밧줄에 스스로 묶이는 상황입니다.,남을 괴롭히려던 일이 도리어 자신에게 해가 됩니다.
자업자득,자기가 저지른 일에 대한 업보를 자기가 받습니다.,나쁜 짓을 해서 나쁜 결과를 스스로 초래했습니다.
자중지난,자기들끼리 내부적으로 싸워 분란이 일어납니다.,한 집단 안에서 파벌 싸움으로 상황이 꼬입니다.
자초지종,일의 처음부터 끝까지 일어난 모든 과정입니다.,무슨 일이 있었는지 차근차근 설명할 때 씁니다.
자포자기,자신을 포기하고 스스로 망가뜨리는 절망적인 상태입니다.,어려움에 부딪혀 모든 의욕을 잃어버렸습니다.
자화자찬,자기가 그린 그림을 스스로 칭찬한다는 뜻입니다.,남이 아닌 자신이 스스로 자신의 일을 자랑합니다.
작심삼일,마음먹은 지 사흘을 넘기지 못하는 나약한 의지입니다.,계획을 세워놓고 금방 포기해버릴 때 씁니다.
장삼이사,평범한 사람들을 이르는 말입니다.,이름 없는 일반적인 대중들을 뜻합니다.
장유유서,어른과 어린이 사이에는 지켜야 할 질서가 있습니다.,예절을 중시하는 유교 문화의 기본적인 덕목입니다.
적반하장,도둑이 오히려 매를 든다는 적반하장의 상황입니다.,잘못한 사람이 오히려 큰소리를 치며 큰소리칩니다.
적자생존,환경에 적응하는 강한 자만이 살아남는 경쟁 법칙입니다.,진화론의 핵심으로 치열한 생존 싸움을 말합니다.
적재적소,알맞은 인재를 알맞은 위치에 배치하는 것입니다.,최고의 효율을 내기 위해 꼭 필요한 곳에 사람을 씁니다.
전광석화,번갯불이나 불꽃처럼 아주 빠르게 움직입니다.,찰나의 순간을 아주 강렬하고 짧게 표현합니다.
전대미문,이전에는 한 번도 들어본 적 없는 놀라운 일입니다.,역사적으로 처음 있는 희귀한 사건을 뜻합니다.
전인미답,아직 아무도 가보지 않은 새로운 길입니다.,아무도 개척하지 않은 새로운 영역에 도전합니다.
전전긍긍,매우 두려워 떨며 조심하고 불안해합니다.,무슨 일이 벌어질까 봐 늘 불안에 떨고 있습니다.
전지전능,모든 것을 다 알고 다 할 수 있는 절대적인 힘입니다.,신적인 존재의 무한한 능력을 의미합니다.
전화위복,화가 바뀌어 오히려 복이 되는 행운입니다.,위기를 기회로 삼아 더 좋은 결과를 이뤄냅니다.
전후사정,앞뒤로 일어난 자세한 상황이나 내막입니다.,왜 이런 일이 생겼는지 상황을 파악해야 합니다.
절치부심,이를 갈고 속을 썩이며 깊이 분해합니다.,복수나 성공을 위해 괴로움을 참고 다짐합니다.
점입가경,갈수록 더 재미있고 좋은 경지로 들어섭니다.,사건이 거듭될수록 더 흥미진진해집니다.
정저지와,우물 안 개구리처럼 세상 물정을 모르는 좁은 식견입니다.,자신이 다 아는 것처럼 생각하지만 실제론 아주 좁은 곳에 있습니다.
정정당당,겉모습도 바르고 속마음도 떳떳하여 숨김이 없습니다.,승부에서 공정하게 규칙을 지키며 대결합니다.
조강지처,가난하고 힘들 때 고생을 같이 한 아내입니다.,평생 잊지 말아야 할 가장 소중한 배우자입니다.
조삼모사,아침에 세 개 저녁에 네 개라는 속임수입니다.,당장의 이익에만 눈이 어두워 결과는 똑같은데도 속습니다.
조족지혈,새 발의 피만큼 아주 적은 분량입니다.,전체에 비하면 새 발의 피처럼 아무것도 아닙니다.
종횡무진,어디든 거침없이 자유롭게 활약합니다.,제약 없이 능력을 마음껏 펼치고 있습니다.
좌불안석,자리에 앉아도 편하지 않아 안절부절못합니다.,마음이 급하거나 불안해서 차분히 앉아있지 못합니다.
좌지우지,마음대로 남을 휘두르고 상황을 조종합니다.,자신의 뜻대로 사람들을 이리저리 움직이게 합니다.
좌충우돌,여기저기 부딪히며 갈팡질팡 정신없이 움직입니다.,경험이 부족해 여러 실수와 충돌을 겪습니다.
주객전도,주인과 손님이 바뀌었다는 뜻으로 순서가 거꾸로 되었습니다.,본질과 비본질이 뒤바뀌어 상황이 이상해졌습니다.
주경야독,낮에는 농사짓고 밤에는 책을 읽으며 공부합니다.,힘든 환경 속에서도 꿋꿋하게 학문에 매진합니다.
주마간산,달리는 말 위에서 산을 본다는 건 대충 보고 지나가는 것입니다.,자세히 살펴보지 않고 성급하게 겉만 훑어봅니다.
죽마고우,어릴 적 죽마를 타고 놀던 아주 오래된 친구입니다.,평생을 함께해온 아주 친한 어린 시절 벗입니다.
중과부적,적은 수로는 많은 수를 도저히 당해낼 수 없습니다.,상대방이 너무 많아 이기기 힘든 상황입니다.
중구난방,여러 사람이 떠들어 의견을 하나로 모으기 어렵습니다.,누가 무슨 말을 하는지 모르게 무질서하게 떠듭니다.
지도편달,가르침과 이끌어줌을 간곡히 부탁할 때 씁니다.,선배나 어른에게 가르침을 달라고 부탁합니다.
지란지교,향기로운 지초와 난초 같은 아름다운 교제입니다.,서로 귀하게 여기는 맑고 깨끗한 우정입니다.
지록위마,사슴을 가리켜 말이라 한다는 뜻으로 윗사람을 속입니다.,권력을 이용해 거짓을 사실로 둔갑시키는 모습입니다.
지리멸렬,조직이 갈갈이 찢기고 흩어져 도저히 기를 펴지 못합니다.,상황이 너무 어지러워 질서를 찾을 수 없습니다.
