단어,카테고리,등급,뜻풀이
간접세,경제,3,일부 상품의 소비나 유통에 세금을 매겨 상품을 구입하거나 사용하는 사람이 내는 세금.
간접흡연,일상,2,다른 사람이 피우는 담배 연기를 들이마시는 것.
간주임대료,경제,4,보증금에 대해 발생하는 이자 상당액을 임대료로 보는 것
간척지,일상,3,바다나 호수 일부의 물을 빼내고 그곳을 흙으로 메워 만든 땅.
간첩,일상,3,한 나라나 단체의 비밀 정보를 알아내어서 다른 나라나 단체에 넘겨주는 일을 하는 사람.
간행물,일상,3,"책, 신문, 그림 등 인쇄되어 세상에 나온 것."
간호,일상,2,아픈 사람을 보살피고 돌봄.
갈래,일상,3,하나에서 둘 이상으로 갈라져 나간 부분이나 가닥.
갈증,일상,2,목이 말라 물이 마시고 싶어지는 느낌.
갈채,일상,3,크게 소리치거나 박수를 쳐 칭찬하거나 환영함.
감감소식,일상,3,소식이나 연락이 전혀 없는 상태.
감개무량,고사성어,3,마음속 깊은 곳에서부터 느껴지는 한량없는 감동
감광,과학,3,물질이 빛을 받아 화학적 변화를 일으킴.
감광지,과학,3,빛을 받았을 때 화학적 변화를 일으키게 하는 물질을 바른 종이.
감광판,과학,3,빛을 받았을 때 화학적 변화를 일으키게 하는 물질을 바른 유리판이나 셀룰로이드 판.
감기,일상,1,"보통 기침, 콧물, 두통, 오한의 증상이 있는, 전염성이 있는 병."
감면,일상,3,내야 하는 돈이나 형벌 등을 줄여 주거나 면제함.
감봉,일상,3,봉급을 줄임.
감산,경제,3,생산하는 양을 줄임.
감상주의,일상,3,"문학에서, 슬픔이나 불쌍하게 여기는 감정을 작품의 본질로 드러내는 경향."
감성,일상,3,자극에 대해 마음이나 감각이 느끼고 반응하는 성질.
감속,일상,3,속도를 줄임. 또는 줄인 속도.
감안,일상,3,여러 사정을 살펴서 생각함.
감염,과학,2,병원체가 체내에 침입하여 증식하는 것
감옥,일상,2,죄를 지은 사람을 가두어 두는 곳.
감원,일상,3,사람 수를 줄임. 또는 그 사람 수.
감정가,경제,3,"골동품, 보석, 부동산의 가치에 따라 매겨진 가격."
감지덕지,고사성어,3,분의 넘치는 대우를 받아 고맙게 여기는 모양
감칠맛,일상,2,맛있는 음식을 먹고 난 뒤에 입에 남는 아주 좋은 느낌.
감투상,일상,3,경기나 시합을 할 때 이기고 지는 것에 상관없이 최선을 다한 것을 칭찬하여 주는 상.
갑각류,과학,2,딱딱한 껍질을 가진 절지동물
값어치,경제,3,"어떤 것이 지니는, 인정할 만한 가치."
갓길,일상,2,"큰 도로나 고속도로의 양쪽 가장자리에, 고장 난 차나 급히 가야 하는 차를 위해 만든 길."
강기슭,일상,3,강 양편의 가장자리의 땅.
강낭콩,일상,2,"긴 껍질에 흰색이나 분홍색, 또는 갈색의 길쭉하고 큰 콩이 들어 있는 식물. 또는 그 콩."
강매,경제,3,강하게 권하는 것을 거절하지 못해 사기 싫은 물건을 억지로 삼.
강속구,일상,3,"야구에서, 투수가 던지는 강하고 빠른 공."
강수량,일상,2,일정한 기간 동안 일정한 곳에 비나 눈 등이 내려 생기는 물의 양.
강점기,일상,3,남의 영토나 물건을 강제로 차지한 시기나 기간.
강행군,일상,3,어떤 일을 이루기 위해 무리하게 함.
개과천선,고사성어,3,지난날의 잘못을 뉘우치고 착한 사람으로 다시 태어나다
개관식,일상,3,"도서관, 박물관, 체육관 등의 기관이 운영 준비를 하여 문을 열 때 하는 기념행사."
개교,일상,2,학교를 세우고 운영을 시작함.
개국,일상,3,새로 나라를 세움.
개기일식,과학,2,달이 태양을 완전히 가리는 천문 현상
개런티,경제,3,"무대나 영화, 드라마, 광고 등에 출연할 때 계약에 따라 받는 금액."
개막식,일상,3,"일정 기간 동안 계속되는 대회, 공연, 행사 등을 처음 시작할 때 행하는 의식."
개머리판,일상,3,총을 쏠 때 어깨에 받치는 데 쓰는 넓적한 아랫부분.
개발비,경제,2,"새로운 기술의 도입, 경영 조직의 개선, 시장의 개척 등에 드는 돈."
개방화,경제,3,금지하거나 경계하던 것을 풀고 자유롭게 교류하게 됨. 또는 그렇게 함.
개시,경제,3,시장을 처음 열어 물건을 팔고 사기 시작함.
개업,경제,3,영업을 처음 시작함.
개연성,일상,3,일반적으로 그 일이 생길 수 있는 가능성.
개인기,일상,2,주로 단체 경기를 하는 운동에서 선수 한 사람이 가진 특별한 기술.
개인주의,일상,3,국가나 사회보다 개인의 권리와 이익이 더 중요하다는 사고방식이나 태도.
개인파산제도,경제,4,빚을 갚을 능력이 없는 사람을 구제하는 법적 절차
개인회생제도,경제,4,일정 기간 빚을 갚으면 나머지를 면제해주는 제도
개장,경제,3,어떤 장소를 이용할 수 있도록 엶.
개점,경제,3,새로 상점을 내고 처음으로 영업을 시작함.
개척,경제,3,거친 땅을 일구어 농사를 지을 수 있는 땅으로 만듦.
개최,일상,2,"모임, 행사, 경기 등을 조직적으로 계획하여 엶."
개평,경제,3,노름이나 내기에서 남이 이겨서 가진 몫에서 공짜로 조금 얻어 가지는 것.
개학,일상,2,학교에서 방학이나 휴교 등으로 쉬었다가 다시 수업을 시작함.
개혁,일상,2,불합리한 제도나 기구 등을 새롭게 고침.
객관적,일상,2,개인의 생각이나 감정에 치우치지 않고 사실이나 사물을 있는 그대로 보거나 생각하는 것.
갤러리,일상,2,미술 작품을 전문적으로 전시하는 곳.
거대,일상,2,엄청나게 큼.
거두절미,고사성어,3,머리와 꼬리를 잘라내듯 핵심만을 간결하게 말한다
거래,경제,2,돈이나 물건을 주고받거나 사고팖.
거래량,경제,3,물건이나 주식 등을 사고파는 수량.
거래소,경제,3,상품이나 유가 증권 등을 대량으로 사고파는 장소.
거래액,경제,3,물건을 주고받거나 사고파는 액수.
거래처,일상,2,지속적으로 돈이나 물건 등을 사고파는 상대편.
거미,일상,2,몸에서 끈적끈적한 줄을 뽑아 그물을 쳐서 벌레를 잡아먹고 사는 작은 동물.
거북이,일상,2,"몸은 납작한 타원형이고 목이 짧으며, 등과 배에 단단한 껍질이 있어서 머리와 꼬리, 네 발을 그 안에 움츠려 넣을 수 있는 동물."
거성,과학,3,다른 별에 비해 매우 밝고 큰 별.
거스름돈,경제,2,치러야 할 돈을 빼고 도로 주거나 받는 돈.
거실,일상,1,"서양식 집에서, 가족이 모여서 생활하거나 손님을 맞는 중심 공간."
거액,경제,3,아주 많은 액수의 돈.
거자필반,고사성어,4,떠난 사람은 반드시 돌아오게 되어 있다
거짓말,일상,1,사실이 아닌 것을 사실인 것처럼 꾸며서 하는 말.
건널목,일상,2,철로와 도로가 교차하는 곳에 도로를 이용하던 사람들이 철로를 건널 수 있게 만들어 놓은 곳.
건달,일상,2,하는 일 없이 빈둥거리며 남의 금품을 빼앗거나 도움을 받으며 사는 사람.
건더기,일상,2,"국, 찌개 등과 같이 국물이 있는 음식에 들어 있는 고기나 채소 등의 덩어리."
건물,일상,1,사람이 살거나 일을 하거나 물건을 보관하기 위해 지은 벽과 지붕이 있는 구조물.
건물주,경제,3,건물을 소유한 사람.
건빵,일상,2,가지고 다니기 편리하도록 수분이 적고 딱딱하게 만든 작고 네모난 과자.
건재상,경제,3,건축에 쓰이는 재료를 파는 가게. 또는 그런 장사를 하는 사람.
건전지,일상,2,"카메라, 라디오, 손전등 등에 쓰는, 전기를 일으키는 작은 물건."
걸레,일상,2,더러운 것이나 물기를 닦는 데 쓰는 천 조각.
걸상,일상,2,사람이 앉기 위해 만든 기구.
겁쟁이,일상,2,어떤 일에 쉽게 무서워하는 마음을 갖는 사람.
게르마늄,과학,2,반도체 성질을 가진 희귀 원소
겨울,일상,1,네 계절 중의 하나로 가을과 봄 사이의 추운 계절.
격려금,경제,3,용기나 의욕이 생기도록 기운을 북돋아 주기 위해 주는 돈.
견과류,일상,2,딱딱한 껍데기에 싸여 있는 나무 열매의 종류.
견적,경제,3,어떤 일을 하는 데 필요한 비용을 미리 계산해 봄. 또는 그런 계산.
견적서,경제,3,어떤 일을 하는 데 필요한 비용을 미리 계산하여 적은 서류.
결명자,일상,2,활 모양의 껍질 속에 들어 있는 작은 씨가 눈을 밝게 해 준다고 해서 차로 마시거나 약으로 먹는 식물. 또는 그 식물의 씨.
결사항전,고사성어,4,죽기를 각오하고 끝까지 굽히지 않고 싸우는 모습
결산,경제,3,일정한 기간 동안의 수입과 지출을 정리함.
결산서,경제,3,일정한 기간 동안의 수입 지출과 영업 실적 등을 정리해 놓은 문서.
결정체,과학,3,"화학에서, 원자, 이온, 분자 등이 규칙적으로 배열되어 일정한 모양을 이룬 물체."
결제,경제,2,물건값이나 내어 줄 돈을 주고 거래를 끝냄.
결초보은,고사성어,4,죽어서도 잊지 않고 은혜를 갚겠다는 굳은 의지
결합력,과학,2,분자나 원자 사이를 붙잡아 주는 힘
결혼,일상,1,남자와 여자가 법적으로 부부가 됨.
경거망동,고사성어,3,깊은 생각 없이 가볍고 경솔하게 행동하는 것을 경계한다
경기,경제,2,"매매나 거래에 나타나는 호황, 불황과 같이 경제 분야에 관련되어 나타나는 상황."
경매,경제,3,물건을 사려는 사람이 많을 때 가장 비싼 값을 부르는 사람에게 물건을 팖.
경비,경제,2,어떤 일을 하는 데 필요한 비용.
경상비,경제,3,기업이나 정부에서 매년 지속적으로 반복해서 지출되는 일정한 항목의 비용.
경영난,경제,3,기업이나 사업을 관리하고 운영하는 데 생기는 어려움.
경영진,경제,3,기업이나 사업의 관리와 운영을 맡은 사람들로 구성된 집단.
경쟁사,경제,3,어떤 분야에서 이기거나 앞서려고 서로 겨루는 회사.
경제,경제,2,"생산이나 소비 등과 관련된 사람들의 활동. 또는 한 사회나 국가에서 돈, 자원, 산업, 생산, 소비, 무역 등과 관련된 모든 활동."
경제성,경제,3,"비용, 노력, 시간 등이 적게 들면서도 이득이 되는 성질."
경찰,일상,1,사회의 질서를 지키고 국민의 안전과 재산을 보호하는 일. 또는 그러한 일을 맡은 국가 기관.
경품,경제,3,상품에 곁들여 고객에게 공짜로 주는 물건.
계단,일상,1,오르내리기 위해 작은 단들을 비스듬하게 차례로 이어 놓은 시설.
계륵,고사성어,4,큰 쓸모는 없으나 버리기에는 아까운 것
계산서,경제,2,물건의 값이 적힌 종이. 또는 요금의 자세한 내용이 적힌 종이.
계수기,경제,3,동전과 지폐를 세거나 수를 셀 때 사용하는 기계.
계약,경제,2,돈을 주고받는 거래에서 서로 지켜야 할 의무나 책임을 문서에 적어 약속함.
계약금,경제,2,계약을 할 때 계약을 지키기로 약속하고 미리 치르는 돈.
계좌,경제,2,금융 기관에서 각 고객의 저축과 대출 상황 등을 계산하여 기록한 것.
계피,일상,2,"향료나 한약재로 쓰며, 매운 향이 나고 붉은 갈색인 계수나무의 속껍질."
곗돈,경제,3,계에서 계원들이 모으거나 받는 돈.
고객,경제,2,상품을 사거나 서비스를 이용하는 사람.
고공행진,고사성어,3,물가나 주가 등이 계속해서 높게 치솟는 상황
고구마,일상,1,"껍질이 갈색 또는 붉은 색으로 속살은 노르스름하고 맛은 달면서 구수한, 식물의 뿌리."
고군분투,고사성어,3,도와줄 사람 없이 혼자서 힘겹게 싸워나가는 모습
고궁,일상,2,옛날에 임금이 살던 집.
고금리,경제,3,높은 이자나 그 비율.
고드름,일상,2,물이 아래쪽으로 얼어붙어 공중에 매달려 있는 얼음의 막대.
고들빼기,일상,2,"줄기는 자주색이고 노란색의 꽃이 피며, 잎과 뿌리로 김치를 담그거나 나물을 만들어 먹는 식물."
고등어,일상,2,"등이 푸르고 검은 물결무늬가 있으며 배는 흰, 살이 많은 바닷물고기."
고래,일상,2,"몸집이 매우 크며 물고기처럼 생긴, 바다에 사는 동물."
고리,경제,3,매우 비싼 이자.
고물가,경제,3,높은 물가.
고백,일상,2,마음속의 생각이나 숨기고 있는 사실을 솔직하게 모두 다 말함.
고생물,과학,3,화석을 통하여 알 수 있는 아주 먼 옛날 지질 시대에 살았던 생물.
고소득,경제,3,많은 수입.
고소득층,경제,3,상대적으로 다른 사람보다 돈을 많이 버는 사회 계층.
고수익,경제,3,"일이나 사업, 투자 등을 통해 얻는 높은 이익."
고슴도치,일상,2,등에 바늘이나 가시같이 단단하고 뾰족한 털이 나 있는 동물.
고압,과학,3,바람이나 물 등의 압력이 보통보다 높은 압력.
고압선,과학,3,고압의 전류가 통하는 전선.
고액권,경제,3,액수가 큰 지폐.
고용,경제,3,돈을 주고 사람에게 일을 시킴.
고용률,경제,2,생산가능인구 중 취업자가 차지하는 비율
고음,일상,2,높은 소리.
고임금,경제,3,높은 임금.
고전역학,과학,3,뉴턴의 법칙을 기반으로 하는 거시 세계의 역학
고정금리,경제,2,대출 기간 동안 이자율이 변하지 않는 금리
고진감래,고사성어,3,고생 끝에 낙이 온다
고집,일상,2,자기의 생각이나 주장을 굽히지 않고 버팀.
고통,일상,2,몸이나 마음이 괴롭고 아픔.
고해상도,과학,3,텔레비전 화면이나 인쇄한 자료 등이 아주 선명한 상태.
고화질,과학,3,미세한 것도 잘 보일 정도로 텔레비전이나 카메라 등의 화면이 매우 선명한 것.
고효율,경제,3,적은 노력이나 비용으로 큰 효과를 얻음.
곡학아세,고사성어,4,학문을 굽혀 세상 사람들에게 아첨하는 태도
골디락스,경제,4,경제가 너무 뜨겁지도 차갑지도 않은 이상적인 상태
골목길,일상,2,집들 사이에 있는 길고 좁은 길.
골뱅이,일상,2,바다의 얕은 지역에 살며 갈색 원뿔형의 단단한 껍데기를 가지고 있는 식용 동물.
골프,일상,2,넓은 잔디밭에 여러 개의 구멍을 파 놓고 공을 긴 채로 쳐서 구멍에 넣는 운동 경기.
곱빼기,일상,2,두 그릇 분량의 음식을 한 그릇에 담은 것.
공공요금,경제,2,"철도, 우편, 전화, 수도, 전기 등의 공공의 이익을 위한 사업에 대한 요금."
공교육비,경제,3,국가가 운영하는 학교 교육에 들어가는 비용.
공금,경제,3,개인이 아닌 단체 소유의 돈.
공급,경제,2,요구나 필요에 따라 물건이나 돈 등을 제공함.
공급망,경제,3,물건과 서비스 및 정보 등이 생산자에게서 소비자에게 이르는 경로의 체계.
공기업,일상,2,국가나 공공 단체가 사회 구성원의 이익을 위해 경영하는 기업.
공납금,경제,3,관공서에 의무적으로 내는 돈.
공돈,경제,3,아무런 노력이나 대가 없이 거저 생긴 돈.
공매도,경제,3,주식을 빌려서 파는 투자 기법
공명,과학,3,물체가 외부의 고유 진동수와 같은 진동을 받아 진폭이 커지는 현상
공모,경제,4,주식 등을 다수의 투자자에게 공개적으로 모집하는 것
공무원,일상,1,국가나 지방 공공 단체의 업무를 담당하는 사람.
공비,경제,3,관청이나 공공 단체에서 공적인 목적으로 쓰는 돈.
공사비,경제,2,공사에 드는 비용.
공산물,경제,3,공장에서 사람의 손이나 기계로 원료를 가공하여 만든 물건.
공산품,경제,3,공장에서 사람의 손이나 기계로 원료를 가공하여 만든 상품.
공수표,경제,3,가치를 잃어 사용할 수 없는 수표.
공시가,경제,3,정부나 공공 기관에서 매긴 값.
공실률,경제,4,전체 공간 중 비어 있는 공간의 비율
공업,경제,2,사람의 손이나 기계로 원료를 가공하여 상품이나 재료를 만드는 산업.
공유결합,과학,4,원자들이 전자를 서로 공유하여 형성하는 결합
공익사업,경제,3,사회 모든 사람의 이익을 위해 이루어지는 사업.
공장,경제,1,원료나 재료를 가공하여 물건을 만들어 내는 곳.
공제,경제,3,전체 몫에서 일정한 금액이나 수량을 빼거나 뗌.
공짜,경제,1,"힘이나 노력, 돈을 들이지 않고 거저 얻은 것."
공채,경제,3,국가나 지방 자치 단체가 자금을 마련하기 위해 발행하는 채권.
공판장,경제,3,동업자들이 조직하여 같은 종류의 상품들을 공동으로 판매하는 장소.
공항,일상,1,비행기가 내리고 뜨기 위한 시설이 마련된 장소.
공휴일,일상,1,국경일이나 명절같이 국가에서 지정하여 쉬는 날.
과거,일상,1,지나간 때.
과대,일상,2,실제보다 부풀려서 과장하는 것.
과목,일상,2,가르치거나 배워야 할 지식을 분야에 따라 나눈 갈래.
과세표준,경제,4,세금을 부과하는 기준이 되는 금액
과소비,경제,2,자신의 소득이나 예상 지출에 비해 돈을 지나치게 많이 쓰거나 물건을 지나치게 많이 삼.
과속,일상,2,자동차 등이 정해진 속도보다 지나치게 빠르게 달림. 또는 그 속도.
과식,일상,2,음식을 지나치게 많이 먹음.
과전압,과학,3,정해진 규격에 맞지 않는 지나치게 높은 전압.
과점,경제,3,소수의 기업에 의해 시장이 지배되는 상태.
과징금,경제,3,"개인이나 기업이 잘못된 경제 활동을 하였을 때, 부당하게 얻은 이익에 대하여 국가에서 거두어들이는 돈."
관객석,일상,2,"운동 경기, 영화, 연극, 음악회, 무용 공연 등을 구경하는 사람들이 앉는 자리."
관광,일상,1,"다른 지방이나 나라의 경치, 상황, 풍속 등을 구경함."
관급,경제,3,국가 기관에서 돈이나 물품 등을 내어 줌.
관람료,경제,2,"공연, 전시, 운동 경기 등을 보기 위해서 내는 돈."
관리,경제,2,어떤 일을 책임지고 맡아 처리함.
관리비,경제,2,시설이나 물건을 관리하는 데 드는 비용.
관비,경제,3,주로 국가에서 부담하는 비용.
관성,과학,2,운동 상태를 그대로 유지하려는 성질
관성모멘트,과학,4,회전하는 물체가 회전 상태를 유지하려는 정도
관세,경제,3,세관을 통과하여 들어오는 해외 상품에 부과되는 세금.
관용구,일상,2,오랫동안 관습적으로 쓰이며 특별한 의미를 가지게 된 두 개 이상의 단어로 이루어진 짧은 말.
관점,일상,2,사물이나 현상을 보고 생각하는 개인의 입장 또는 태도.
관측,과학,3,눈이나 기계로 자연 현상을 자세히 살펴보아 어떤 사실을 짐작하거나 알아냄.
관측기,과학,3,"천체나 날씨 등을 자세히 살펴보기 위해 사용되는, 망원경이나 쌍안경 등과 같은 기계나 도구."
관측소,과학,3,기상대나 천문대 등과 같이 날씨나 천체 등을 자세히 살펴보기 위해 여러 가지 장비를 설치한 곳.
광고,일상,1,사람들에게 널리 알림.
광고료,경제,2,"신문, 잡지, 방송 등에 광고를 내는 데 지불하는 돈."
광고주,경제,2,"돈을 내고 신문, 잡지 등에 광고를 의뢰한 사람."
광년,과학,2,빛이 1년 동안 나아가는 거리
광섬유,과학,3,"빛을 이용하여 정보를 전달할 때 쓰는, 빛을 전파하는 가는 유리 섬유."
광열비,경제,3,전등을 켜고 난방을 하는 데에 드는 비용.
광원,과학,3,"해, 별, 전구처럼 스스로 빛을 내는 물체."
광자,과학,2,빛을 구성하는 최소 단위의 입자
광전지,과학,3,태양의 빛 에너지를 전기 에너지로 바꾸는 장치.
광전효과,과학,4,금속 표면에 빛을 쬐었을 때 전자가 튀어나오는 현상
광케이블,과학,3,"정보 통신에 사용되는, 광섬유로 만든 케이블."
교과서,일상,1,학교에서 어떤 과목을 가르치려고 만든 책.
교대,일상,2,어떤 일을 여러 사람이 나누어서 차례를 바꾸어 가며 함.
교복,일상,2,각 학교에서 학생들이 입도록 특별히 정한 옷.
교부금,경제,3,정부나 공공 단체가 정책을 펼치거나 특정 산업을 도와주기 위하여 기업이나 개인에게 지원해 주는 돈.
교양,일상,2,"사회적 경험이나 학식을 바탕으로 사회생활, 문화 등 여러 분야에 걸쳐 쌓은 지식이나 품위."
교역,경제,3,나라와 나라 사이에 물건을 서로 사고팖.
교통비,경제,1,교통 기관을 이용하는 데 드는 비용.
교환,경제,1,무엇을 다른 것으로 바꿈.
교환권,경제,2,어떤 물건을 받을 수 있도록 한 표. 또는 받은 물건을 다른 물건으로 바꿀 수 있도록 한 표.
구경,일상,1,흥미나 관심을 가지고 봄.
구구단,일상,2,"곱셈에 쓰는 기초 공식으로, 하나에서 아홉까지의 각 수를 서로 곱해서 나온 값을 나타낸 것."
구독,경제,3,"책이나 잡지, 신문 등을 구입하여 읽음."
구독경제,경제,3,상품을 빌리거나 구독하여 주기적으로 받는 서비스
구독료,경제,3,"책이나 잡지, 신문을 정기적으로 받아 보기 위해 내는 돈."
구독자,경제,3,"책이나 잡지, 신문 등을 구입하여 읽는 사람."
구두쇠,경제,3,돈이나 재물을 지나치게 안 쓰고 아끼는 사람.
구름다리,일상,2,사람이 다닐 수 있도록 도로나 계곡 등을 건너질러 공중에 걸쳐 놓은 다리.
구매,경제,2,물건 등을 삼.
구매자,경제,3,물건을 사는 사람이나 단체.
구멍가게,경제,2,조그맣게 차린 가게.
구사일생,고사성어,3,죽을 고비를 여러 번 넘기고 가까스로 살아나다
구성품,경제,2,무엇을 이루고 있는 물품.
구속,일상,2,생각이나 행동의 자유를 제한하거나 속박함.
구인,경제,3,일할 사람을 구함.
구인난,경제,3,일할 사람을 구하기 어려움. 또는 그런 상태.
구입,경제,2,물건 등을 삼.
구좌,경제,3,금융 기관에서 각 고객의 저축과 대출 상황 등을 계산하여 기록한 것.
구직,경제,3,일자리를 구함.
구직난,경제,3,일자리를 구하기 어려움. 또는 그런 상태.
구직자,경제,3,일자리를 구하는 사람.
구판장,경제,3,조합이나 단체에서 생활에 필요한 물품을 공동으로 사들여 구성원에게 싸게 파는 곳.
국고,경제,3,국가가 가지고 있는 예금 계좌. 또는 그 예금.
국내산,경제,3,자기 나라에서 생산함. 또는 그런 물건.
국내총생산,경제,3,한 나라 안에서 생산된 최종 재화와 서비스의 가치
국민연금,경제,2,국가가 국민의 노후를 위해 운영하는 연금 제도
국방비,경제,3,다른 나라의 침입이나 위협으로부터 나라를 안전하게 지키는 데 사용되는 비용.
국부,경제,3,한 나라가 지닌 경제력.
국비,경제,3,국가 재정으로 부담하는 비용.
국산,경제,2,자기 나라에서 생산함. 또는 그 물건.
국산품,경제,3,다른 나라에서 수입하지 않고 자기 나라에서 만든 물품.
국산화,경제,3,필요한 물품을 다른 나라에서 수입하지 않고 자기 나라에서 만듦.
국세,경제,3,국가가 국민들로부터 거두어들이는 세금.
국수,일상,1,"밀, 메밀, 감자 등의 가루를 반죽하여 칼이나 기계, 손으로 가늘고 길게 만든 식품. 또는 그것을 삶아서 만든 음식."
국유,경제,3,나라의 소유.
국익,경제,3,나라의 이익.
국채,경제,3,나라가 진 빚.
국화,일상,2,"꽃잎은 주로 희거나 노랗고 대가 긴, 향기가 좋은 가을꽃."
국회,일상,2,"국민의 대표인 국회 의원들로 이루어져, 법률을 만들고 행정부와 사법부를 감시하는 기능을 하는 국가 기관."
군대,일상,2,일정한 규율과 질서가 있는 군인들의 집단.
군사비,경제,3,군대를 유지하거나 전쟁을 벌이는 데 쓰는 돈.
군자금,경제,3,군사적인 목적에 필요한 돈.
굿즈,경제,3,"특정 연예인, 드라마, 애니메이션, 행사 등과 관련해 제작되는 기획 상품."
권리금,경제,3,건물이나 토지를 빌린 사람이 빌려준 사람에게 그 장소가 지니는 특별한 이익에 대한 대가로 주는 돈.
권모술수,고사성어,4,목적을 위해 수단과 방법을 가리지 않는 술책
권선징악,고사성어,3,착한 일을 권하고 악한 일을 벌한다
귀뚜라미,일상,2,몸은 짙은 갈색이고 긴 수염이 있으며 가을에 풀밭이나 집 주변 등에서 귀뚤귀뚤 소리를 내며 우는 곤충.
귀마개,일상,2,소리가 들리지 않도록 하거나 물이 들어가지 않도록 하기 위해 귀를 막는 물건.
귀중품,경제,3,값비싸고 귀한 물건.
규격품,경제,3,표준으로 정해진 크기나 형식에 따라 만든 물품.
균일가,경제,3,차이가 없이 같은 가격.
그늘,일상,2,빛이 어떤 물체에 가려져 생긴 어두운 부분.
